,Stage,Pressure [bar],Enthalpy [kJ/kg],Entropy [kJ/kg-K]
0,a,1.01325,288.299988,6.657020096789114
1,0a,1.01325,288.299988,6.657020096789114
2,01,1.01325,288.299988,6.657020096789114
3,02i,9.3219,543.819214,6.657020096789114
4,02,9.3219,572.2102391111112,6.708483384307881
5,03,9.042243,1574.3477221262037,7.868896677412523
6,04i,4.070730308553825,1279.366398578441,7.868896677412523
7,04,4.070730308553825,1297.0652779913066,7.883895377560495
8,045i,1.632762321694637,1017.4486188250764,7.883895377560495
9,045,1.632762321694637,1034.2256183750503,7.90141848775018
10,5i,1.01325,920.2922583466054,7.90141848775018
11,5,1.01325,920.2922583466054,7.90141848775018
