t,T ,h,s
0,273.16,280.9,6.8119
1,274.16,282,6.8156
2,275.16,283,6.8194
3,276.16,284.1,6.8231
4,277.16,285.1,6.8269
5,278.16,286.2,6.8306
6,279.16,287.2,6.8343
7,280.16,288.3,6.8381
8,281.16,289.3,6.8418
9,282.16,290.4,6.8456
10,283.16,291.4,6.8493
11,284.16,292.5,6.853
12,285.16,293.6,6.8568
13,286.16,294.6,6.8605
14,287.16,295.7,6.8643
15,288.16,296.7,6.868
16,289.16,297.8,6.8717
17,290.16,298.8,6.8755
18,291.16,299.9,6.8792
19,292.16,300.9,6.8829
20,293.16,302,6.8867
21,294.16,303,6.8904
22,295.16,304.1,6.8942
23,296.16,305.1,6.8979
24,297.16,306.2,6.9017
25,298.16,307.3,6.9053
26,299.16,308.3,6.9087
27,300.16,309.4,6.9121
28,301.16,310.4,6.9154
29,302.16,311.5,6.9188
30,303.16,312.6,6.9222
31,304.16,313.6,6.9256
32,305.16,314.7,6.9289
33,306.16,315.7,6.9323
34,307.16,316.8,6.9357
35,308.16,317.9,6.9391
36,309.16,318.9,6.9425
37,310.16,320,6.9459
38,311.16,321,6.9492
39,312.16,322.1,6.9526
40,313.16,323.2,6.956
41,314.16,324.2,6.9594
42,315.16,325.3,6.9628
43,316.16,326.3,6.9661
44,317.16,327.4,6.9695
45,318.16,328.4,6.9729
46,319.16,329.5,6.9763
47,320.16,330.6,6.9797
48,321.16,331.6,6.983
49,322.16,332.7,6.9864
50,323.16,333.7,6.9899
51,324.16,334.8,6.9931
52,325.16,335.9,6.9963
53,326.16,336.9,6.9995
54,327.16,338,7.0027
55,328.16,339.1,7.0059
56,329.16,340.1,7.0091
57,330.16,341.2,7.0123
58,331.16,342.2,7.0155
59,332.16,343.3,7.0187
60,333.16,344.4,7.0219
61,334.16,345.4,7.0251
62,335.16,346.5,7.0283
63,336.16,347.6,7.0315
64,337.16,348.6,7.0345
65,338.16,349.7,7.0379
66,339.16,350.7,7.0411
67,340.16,351.8,7.0443
68,341.16,352.9,7.0475
69,342.16,353.9,7.0507
70,343.16,355,7.0539
